,pred1
970,0.24664785
971,0.24664785
972,0.23386462
973,0.24083753
974,0.24083753
975,0.25467125
976,0.22576205
977,0.22576205
978,0.24664785
979,0.24664785
980,0.25744587
981,0.25467125
982,0.23386462
983,0.23386462
984,0.24664785
985,0.22576205
986,0.24664785
987,0.24083753
988,0.22576205
989,0.25126696
990,0.22576205
991,0.24664783
992,0.25126696
993,0.25467125
994,0.25126696
995,0.23386462
996,0.24083753
997,0.25684276
998,0.24083753
999,0.25684276
1000,0.23386462
1001,0.25467125
1002,0.22576205
1003,0.24664785
1004,0.23386462
1005,0.25126696
1006,0.25126696
1007,0.23386462
1008,0.23386462
1009,0.23386462
1010,0.22576205
1011,0.23386462
1012,0.25684276
1013,0.23386462
1014,0.25126696
1015,0.23386462
1016,0.24083753
1017,0.24083753
1018,0.23386462
1019,0.24664785
1020,0.24083753
1021,0.2165664
1022,0.24083753
1023,0.25684273
1024,0.24664785
1025,0.22576205
1026,0.24664785
1027,0.25126696
1028,0.24664785
1029,0.22576205
1030,0.24083753
1031,0.24083753
1032,0.25126696
1033,0.22576205
1034,0.24083753
1035,0.24083753
1036,0.23386462
1037,0.24083753
1038,0.24083753
1039,0.24083753
1040,0.22576205
1041,0.24083753
1042,0.25467125
1043,0.25684276
1044,0.25126696
1045,0.24664785
1046,0.24083753
1047,0.23386462
1048,0.25467125
1049,0.24083753
1050,0.24083753
1051,0.25467125
1052,0.25126696
1053,0.25467125
1054,0.25126696
1055,0.24664783
1056,0.24664785
1057,0.22576205
1058,0.25126696
1059,0.24664785
1060,0.23386462
1061,0.22576205
1062,0.23386462
1063,0.25467125
1064,0.2165664
1065,0.25467125
1066,0.2165664
1067,0.24083753
1068,0.25126696
1069,0.22576205
1070,0.23386462
1071,0.22576205
1072,0.23386462
1073,0.24664785
1074,0.23386462
1075,0.25744587
1076,0.23386462
1077,0.25684276
1078,0.22576205
1079,0.24083753
1080,0.24664785
1081,0.22576205
1082,0.24083753
1083,0.25126696
1084,0.24664785
1085,0.23386462
1086,0.23386462
1087,0.25126696
1088,0.23386462
1089,0.24664785
1090,0.24083753
1091,0.24083753
1092,0.23386462
